ensembl_gene_id,gene_biotype
ENSMUSG00000005951,protein_coding
ENSMUSG00000005958,protein_coding
ENSMUSG00000005968,protein_coding
ENSMUSG00000005973,protein_coding
ENSMUSG00000005981,protein_coding
ENSMUSG00000005982,protein_coding
ENSMUSG00000005983,protein_coding
ENSMUSG00000005986,protein_coding
ENSMUSG00000006005,protein_coding
ENSMUSG00000006010,protein_coding
ENSMUSG00000006019,protein_coding
ENSMUSG00000006021,protein_coding
ENSMUSG00000006024,protein_coding
ENSMUSG00000006050,protein_coding
ENSMUSG00000006056,protein_coding
ENSMUSG00000006057,protein_coding
ENSMUSG00000006058,protein_coding
ENSMUSG00000006095,protein_coding
ENSMUSG00000006127,protein_coding
ENSMUSG00000006134,protein_coding
ENSMUSG00000006143,protein_coding
ENSMUSG00000006169,protein_coding
ENSMUSG00000006179,protein_coding
ENSMUSG00000006191,protein_coding
ENSMUSG00000006200,protein_coding
ENSMUSG00000006205,protein_coding
ENSMUSG00000006215,protein_coding
ENSMUSG00000006216,protein_coding
ENSMUSG00000006218,protein_coding
ENSMUSG00000006219,protein_coding
ENSMUSG00000006235,protein_coding
ENSMUSG00000006241,protein_coding
ENSMUSG00000006262,protein_coding
ENSMUSG00000006273,protein_coding
ENSMUSG00000006276,protein_coding
ENSMUSG00000006281,protein_coding
ENSMUSG00000006288,protein_coding
ENSMUSG00000006289,protein_coding
ENSMUSG00000006299,protein_coding
ENSMUSG00000006301,protein_coding
ENSMUSG00000006304,protein_coding
ENSMUSG00000006307,protein_coding
ENSMUSG00000006310,protein_coding
ENSMUSG00000006313,protein_coding
ENSMUSG00000006315,protein_coding
ENSMUSG00000006333,protein_coding
ENSMUSG00000006335,protein_coding
ENSMUSG00000006342,protein_coding
ENSMUSG00000006345,protein_coding
ENSMUSG00000006356,protein_coding
ENSMUSG00000006360,protein_coding
ENSMUSG00000006369,protein_coding
ENSMUSG00000006373,protein_coding
ENSMUSG00000006378,protein_coding
ENSMUSG00000006386,protein_coding
ENSMUSG00000006390,protein_coding
ENSMUSG00000006392,protein_coding
